time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2020-01-02 04:00:00+00:00,1.12132,1.12143,1.12008,1.12043,1587,1,0,EURUSD,H4
2020-01-02 08:00:00+00:00,1.12043,1.1214,1.12011,1.12029,5837,1,0,EURUSD,H4
2020-01-02 12:00:00+00:00,1.12029,1.12037,1.1183,1.11962,7040,1,0,EURUSD,H4
2020-01-02 16:00:00+00:00,1.11961,1.1203,1.11635,1.11698,11058,1,0,EURUSD,H4
2020-01-02 20:00:00+00:00,1.11698,1.11733,1.11636,1.11722,4882,1,0,EURUSD,H4
2020-01-03 00:00:00+00:00,1.11722,1.11784,1.11683,1.11736,2126,1,0,EURUSD,H4
2020-01-03 04:00:00+00:00,1.11736,1.11774,1.11644,1.11663,4439,1,0,EURUSD,H4
2020-01-03 08:00:00+00:00,1.11663,1.11714,1.11399,1.114,8722,1,0,EURUSD,H4
2020-01-03 12:00:00+00:00,1.114,1.11487,1.1125,1.11382,8731,1,0,EURUSD,H4
2020-01-03 16:00:00+00:00,1.11382,1.11797,1.11353,1.1172,10238,1,0,EURUSD,H4
2020-01-03 20:00:00+00:00,1.1172,1.11732,1.1152,1.11558,5193,1,0,EURUSD,H4
2020-01-06 00:00:00+00:00,1.11646,1.11682,1.11582,1.11627,4430,1,0,EURUSD,H4
2020-01-06 04:00:00+00:00,1.11627,1.11709,1.11605,1.11623,3065,1,0,EURUSD,H4
2020-01-06 08:00:00+00:00,1.11623,1.11936,1.11571,1.11932,7165,1,0,EURUSD,H4
2020-01-06 12:00:00+00:00,1.11932,1.12054,1.11899,1.11977,6961,1,0,EURUSD,H4
2020-01-06 16:00:00+00:00,1.11976,1.12002,1.11809,1.11949,7681,1,0,EURUSD,H4
2020-01-06 20:00:00+00:00,1.11949,1.11989,1.1188,1.11968,3146,1,0,EURUSD,H4
2020-01-07 00:00:00+00:00,1.1196,1.11975,1.11891,1.11934,2882,1,0,EURUSD,H4
2020-01-07 04:00:00+00:00,1.11934,1.11944,1.11828,1.11829,2122,1,0,EURUSD,H4
2020-01-07 08:00:00+00:00,1.11829,1.11896,1.11725,1.11844,8474,1,0,EURUSD,H4
2020-01-07 12:00:00+00:00,1.11843,1.1186,1.11547,1.11561,8811,1,0,EURUSD,H4
2020-01-07 16:00:00+00:00,1.1156,1.11622,1.11335,1.11424,9660,1,0,EURUSD,H4
2020-01-07 20:00:00+00:00,1.11424,1.11536,1.11413,1.11526,3960,1,0,EURUSD,H4
2020-01-08 00:00:00+00:00,1.11529,1.11681,1.11439,1.1155599999999999,9590,1,0,EURUSD,H4
2020-01-08 04:00:00+00:00,1.1155599999999999,1.11613,1.1145100000000001,1.1149,5939,1,0,EURUSD,H4
2020-01-08 08:00:00+00:00,1.11489,1.11548,1.11253,1.11384,10289,1,0,EURUSD,H4
2020-01-08 12:00:00+00:00,1.11382,1.11385,1.1111,1.11199,9354,1,0,EURUSD,H4
2020-01-08 16:00:00+00:00,1.11199,1.11308,1.11086,1.11179,10641,1,0,EURUSD,H4
2020-01-08 20:00:00+00:00,1.11178,1.11178,1.11016,1.11053,4806,1,0,EURUSD,H4
2020-01-09 00:00:00+00:00,1.11053,1.11193,1.11033,1.11173,3480,1,0,EURUSD,H4
2020-01-09 04:00:00+00:00,1.11173,1.11189,1.11126,1.11182,2236,1,0,EURUSD,H4
2020-01-09 08:00:00+00:00,1.11181,1.11203,1.10983,1.10993,7984,1,0,EURUSD,H4
2020-01-09 12:00:00+00:00,1.10994,1.11173,1.10965,1.11148,7406,1,0,EURUSD,H4
2020-01-09 16:00:00+00:00,1.11149,1.11149,1.10923,1.11046,7468,1,0,EURUSD,H4
2020-01-09 20:00:00+00:00,1.11046,1.11097,1.11033,1.11051,3450,1,0,EURUSD,H4
2020-01-10 00:00:00+00:00,1.11051,1.11093,1.11017,1.11041,2448,1,0,EURUSD,H4
2020-01-10 04:00:00+00:00,1.11041,1.1111,1.11035,1.11089,2008,1,0,EURUSD,H4
2020-01-10 08:00:00+00:00,1.11089,1.1111,1.1091199999999999,1.10964,5256,1,0,EURUSD,H4
2020-01-10 12:00:00+00:00,1.1096300000000001,1.11136,1.1085,1.10966,8162,1,0,EURUSD,H4
2020-01-10 16:00:00+00:00,1.10966,1.11291,1.10861,1.11223,9649,1,0,EURUSD,H4
2020-01-10 20:00:00+00:00,1.11223,1.11231,1.11172,1.11212,2658,1,0,EURUSD,H4
2020-01-13 00:00:00+00:00,1.11162,1.11213,1.11128,1.11212,1911,1,0,EURUSD,H4
2020-01-13 04:00:00+00:00,1.11212,1.11317,1.112,1.11297,1965,1,0,EURUSD,H4
2020-01-13 08:00:00+00:00,1.11297,1.11359,1.11147,1.1115,5929,1,0,EURUSD,H4
2020-01-13 12:00:00+00:00,1.1115,1.11283,1.11127,1.11187,5947,1,0,EURUSD,H4
2020-01-13 16:00:00+00:00,1.11187,1.11469,1.11175,1.11397,7324,1,0,EURUSD,H4
2020-01-13 20:00:00+00:00,1.11397,1.11447,1.1133,1.11338,2856,1,0,EURUSD,H4
2020-01-14 00:00:00+00:00,1.11338,1.11421,1.1131199999999999,1.11371,3304,1,0,EURUSD,H4
2020-01-14 04:00:00+00:00,1.11371,1.11387,1.11352,1.11369,2284,1,0,EURUSD,H4
2020-01-14 08:00:00+00:00,1.11369,1.11444,1.11303,1.11313,6169,1,0,EURUSD,H4
2020-01-14 12:00:00+00:00,1.1131199999999999,1.11353,1.1105,1.11102,7863,1,0,EURUSD,H4
2020-01-14 16:00:00+00:00,1.11102,1.11327,1.11042,1.1131,8400,1,0,EURUSD,H4
2020-01-14 20:00:00+00:00,1.1131,1.11347,1.11247,1.11274,3742,1,0,EURUSD,H4
2020-01-15 00:00:00+00:00,1.11284,1.1131,1.1125,1.11296,2720,1,0,EURUSD,H4
2020-01-15 04:00:00+00:00,1.11295,1.11345,1.1127,1.11339,2053,1,0,EURUSD,H4
2020-01-15 08:00:00+00:00,1.11339,1.11367,1.11185,1.11283,5110,1,0,EURUSD,H4
2020-01-15 12:00:00+00:00,1.11283,1.11549,1.1125,1.11489,7307,1,0,EURUSD,H4
2020-01-15 16:00:00+00:00,1.11487,1.11633,1.11431,1.11575,8291,1,0,EURUSD,H4
2020-01-15 20:00:00+00:00,1.11575,1.11596,1.1148,1.1149499999999999,3621,1,0,EURUSD,H4
2020-01-16 00:00:00+00:00,1.11492,1.1158,1.11481,1.11535,3315,1,0,EURUSD,H4
2020-01-16 04:00:00+00:00,1.11535,1.11549,1.1149499999999999,1.11496,1682,1,0,EURUSD,H4
2020-01-16 08:00:00+00:00,1.11496,1.11636,1.11446,1.11533,5770,1,0,EURUSD,H4
2020-01-16 12:00:00+00:00,1.11533,1.11726,1.115,1.11513,7208,1,0,EURUSD,H4
2020-01-16 16:00:00+00:00,1.11514,1.11601,1.11278,1.11346,9248,1,0,EURUSD,H4
2020-01-16 20:00:00+00:00,1.11346,1.1138,1.11316,1.11358,3230,1,0,EURUSD,H4
2020-01-17 00:00:00+00:00,1.11352,1.11392,1.11334,1.11368,2351,1,0,EURUSD,H4
2020-01-17 04:00:00+00:00,1.11368,1.11425,1.11307,1.11364,2323,1,0,EURUSD,H4
2020-01-17 08:00:00+00:00,1.11364,1.11411,1.11247,1.11276,5562,1,0,EURUSD,H4
