time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2020-01-02 00:00:00+00:00,1.3209,1.32305,1.3115,1.31363,48916,2,0,GBPUSD,D1
2020-01-03 00:00:00+00:00,1.31363,1.31599,1.30532,1.30743,59795,2,0,GBPUSD,D1
2020-01-06 00:00:00+00:00,1.30781,1.31741,1.30625,1.3168199999999999,50184,2,0,GBPUSD,D1
2020-01-07 00:00:00+00:00,1.31684,1.32119,1.30948,1.31203,55737,0,0,GBPUSD,D1
2020-01-08 00:00:00+00:00,1.3118,1.31694,1.30801,1.30938,65260,0,0,GBPUSD,D1
2020-01-09 00:00:00+00:00,1.30937,1.31234,1.3013,1.30659,56120,0,0,GBPUSD,D1
2020-01-10 00:00:00+00:00,1.30659,1.3096700000000001,1.30422,1.30637,48542,0,0,GBPUSD,D1
2020-01-13 00:00:00+00:00,1.3036400000000001,1.30453,1.29609,1.29867,47464,0,0,GBPUSD,D1
2020-01-14 00:00:00+00:00,1.29867,1.3033000000000001,1.29541,1.30157,53505,0,0,GBPUSD,D1
2020-01-15 00:00:00+00:00,1.30151,1.30423,1.29848,1.30373,49886,0,0,GBPUSD,D1
2020-01-16 00:00:00+00:00,1.30373,1.30829,1.30251,1.30778,52227,0,0,GBPUSD,D1
2020-01-17 00:00:00+00:00,1.30783,1.3118699999999999,1.30076,1.30094,48664,0,0,GBPUSD,D1
2020-01-20 00:00:00+00:00,1.29985,1.30137,1.29618,1.30076,30729,0,0,GBPUSD,D1
2020-01-21 00:00:00+00:00,1.30075,1.30832,1.29949,1.30472,44734,0,0,GBPUSD,D1
2020-01-22 00:00:00+00:00,1.30473,1.31527,1.30345,1.3139,65605,0,0,GBPUSD,D1
2020-01-23 00:00:00+00:00,1.31395,1.31507,1.30969,1.31207,63668,0,0,GBPUSD,D1
2020-01-24 00:00:00+00:00,1.31208,1.31724,1.30564,1.30705,64938,0,0,GBPUSD,D1
2020-01-27 00:00:00+00:00,1.30754,1.31052,1.30401,1.30554,58664,0,0,GBPUSD,D1
2020-01-28 00:00:00+00:00,1.3057,1.30648,1.29753,1.30271,55509,0,0,GBPUSD,D1
2020-01-29 00:00:00+00:00,1.30271,1.30294,1.29892,1.30173,55576,0,0,GBPUSD,D1
