time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2020-01-02 04:00:00+00:00,0.96879,0.97035,0.96869,0.97015,1299,2,0,USDCHF,H4
2020-01-02 08:00:00+00:00,0.97015,0.97072,0.96813,0.96954,4451,1,0,USDCHF,H4
2020-01-02 12:00:00+00:00,0.96954,0.97118,0.96906,0.97028,5835,1,0,USDCHF,H4
2020-01-02 16:00:00+00:00,0.97027,0.97325,0.9689,0.97279,8557,1,0,USDCHF,H4
2020-01-02 20:00:00+00:00,0.97279,0.97306,0.971,0.97114,3538,4,0,USDCHF,H4
2020-01-03 00:00:00+00:00,0.97102,0.97161,0.96985,0.97014,2092,2,0,USDCHF,H4
2020-01-03 04:00:00+00:00,0.97015,0.97103,0.96879,0.97073,2497,2,0,USDCHF,H4
2020-01-03 08:00:00+00:00,0.97073,0.97346,0.97014,0.97345,6538,1,0,USDCHF,H4
2020-01-03 12:00:00+00:00,0.97344,0.97434,0.97228,0.97299,7102,2,0,USDCHF,H4
2020-01-03 16:00:00+00:00,0.97299,0.97339,0.97017,0.97076,8973,1,0,USDCHF,H4
2020-01-03 20:00:00+00:00,0.97075,0.97255,0.97074,0.97237,5234,2,0,USDCHF,H4
2020-01-06 00:00:00+00:00,0.96997,0.97164,0.96984,0.97115,4504,2,0,USDCHF,H4
2020-01-06 04:00:00+00:00,0.97115,0.97145,0.97048,0.97123,2177,3,0,USDCHF,H4
2020-01-06 08:00:00+00:00,0.97123,0.97157,0.96892,0.96892,5956,2,0,USDCHF,H4
2020-01-06 12:00:00+00:00,0.96892,0.96981,0.96841,0.96955,6254,2,0,USDCHF,H4
2020-01-06 16:00:00+00:00,0.96955,0.97056,0.96766,0.9682,7666,3,0,USDCHF,H4
2020-01-06 20:00:00+00:00,0.96818,0.96926,0.96759,0.96786,3794,3,0,USDCHF,H4
2020-01-07 00:00:00+00:00,0.96785,0.96911,0.9675,0.96883,3509,3,0,USDCHF,H4
2020-01-07 04:00:00+00:00,0.96883,0.96948,0.96861,0.96945,2268,3,0,USDCHF,H4
2020-01-07 08:00:00+00:00,0.96946,0.97094,0.96853,0.97088,6510,3,0,USDCHF,H4
2020-01-07 12:00:00+00:00,0.97088,0.97164,0.9701,0.97136,8038,3,0,USDCHF,H4
2020-01-07 16:00:00+00:00,0.97139,0.97297,0.96961,0.97056,7832,1,0,USDCHF,H4
2020-01-07 20:00:00+00:00,0.97056,0.97147,0.96987,0.97012,4239,5,0,USDCHF,H4
2020-01-08 00:00:00+00:00,0.97012,0.97072,0.96649,0.96878,14254,6,0,USDCHF,H4
2020-01-08 04:00:00+00:00,0.96878,0.97075,0.96867,0.97018,13275,4,0,USDCHF,H4
2020-01-08 08:00:00+00:00,0.97018,0.97161,0.96977,0.97132,10688,4,0,USDCHF,H4
2020-01-08 12:00:00+00:00,0.97132,0.97283,0.96996,0.9701,9544,5,0,USDCHF,H4
2020-01-08 16:00:00+00:00,0.97011,0.97364,0.96917,0.97323,10917,4,0,USDCHF,H4
2020-01-08 20:00:00+00:00,0.97322,0.97393,0.97277,0.97373,4898,6,0,USDCHF,H4
2020-01-09 00:00:00+00:00,0.97374,0.97395,0.97299,0.97392,4345,5,0,USDCHF,H4
2020-01-09 04:00:00+00:00,0.97392,0.9744,0.97375,0.97384,4208,6,0,USDCHF,H4
2020-01-09 08:00:00+00:00,0.97384,0.97478,0.97343,0.97413,7011,6,0,USDCHF,H4
2020-01-09 12:00:00+00:00,0.97413,0.97449,0.97108,0.97193,7908,4,0,USDCHF,H4
2020-01-09 16:00:00+00:00,0.97192,0.97375,0.97178,0.97257,7887,5,0,USDCHF,H4
2020-01-09 20:00:00+00:00,0.97257,0.97366,0.97198,0.97297,3623,4,0,USDCHF,H4
2020-01-10 00:00:00+00:00,0.97283,0.97357,0.97252,0.97347,3802,6,0,USDCHF,H4
2020-01-10 04:00:00+00:00,0.97347,0.97357,0.9727,0.97278,3441,5,0,USDCHF,H4
2020-01-10 08:00:00+00:00,0.97279,0.97482,0.9726,0.97459,3975,6,0,USDCHF,H4
2020-01-10 12:00:00+00:00,0.97459,0.97617,0.97409,0.97557,6075,5,0,USDCHF,H4
2020-01-10 16:00:00+00:00,0.97557,0.97576,0.97195,0.97256,8627,5,0,USDCHF,H4
2020-01-10 20:00:00+00:00,0.97256,0.97343,0.9723,0.97279,4041,4,0,USDCHF,H4
2020-01-13 00:00:00+00:00,0.972,0.97362,0.972,0.97318,3024,5,0,USDCHF,H4
2020-01-13 04:00:00+00:00,0.97319,0.97327,0.97246,0.97285,3221,2,0,USDCHF,H4
2020-01-13 08:00:00+00:00,0.97285,0.97364,0.97237,0.97275,5944,6,0,USDCHF,H4
2020-01-13 12:00:00+00:00,0.97275,0.97313,0.9712,0.97175,5353,6,0,USDCHF,H4
2020-01-13 16:00:00+00:00,0.97174,0.97195,0.96937,0.96995,6139,4,0,USDCHF,H4
2020-01-13 20:00:00+00:00,0.96995,0.97108,0.96963,0.97054,2920,5,0,USDCHF,H4
2020-01-14 00:00:00+00:00,0.97054,0.97129,0.96928,0.97105,5235,6,0,USDCHF,H4
2020-01-14 04:00:00+00:00,0.97105,0.97126,0.97077,0.97104,4437,5,0,USDCHF,H4
2020-01-14 08:00:00+00:00,0.97105,0.97117,0.96844,0.96957,5301,6,0,USDCHF,H4
2020-01-14 12:00:00+00:00,0.96957,0.97008,0.96679,0.96993,6275,4,0,USDCHF,H4
2020-01-14 16:00:00+00:00,0.96993,0.97098,0.96743,0.96799,6517,5,0,USDCHF,H4
2020-01-14 20:00:00+00:00,0.96801,0.96802,0.96651,0.96698,5227,4,0,USDCHF,H4
