time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2020-01-02 04:00:00+00:00,108.705,108.755,108.697,108.74,1132,3,0,USDJPY,H4
2020-01-02 08:00:00+00:00,108.74,108.842,108.692,108.837,5541,3,0,USDJPY,H4
2020-01-02 12:00:00+00:00,108.837,108.864,108.655,108.691,4804,3,0,USDJPY,H4
2020-01-02 16:00:00+00:00,108.691,108.748,108.21,108.525,9135,3,0,USDJPY,H4
2020-01-02 20:00:00+00:00,108.525,108.569,108.49,108.566,4029,3,0,USDJPY,H4
2020-01-03 00:00:00+00:00,108.555,108.627,108.163,108.201,4562,3,0,USDJPY,H4
2020-01-03 04:00:00+00:00,108.201,108.24,107.998,108.121,9871,3,0,USDJPY,H4
2020-01-03 08:00:00+00:00,108.121,108.151,107.914,108.066,10847,3,0,USDJPY,H4
2020-01-03 12:00:00+00:00,108.066,108.16,107.995,108.156,10365,3,0,USDJPY,H4
2020-01-03 16:00:00+00:00,108.156,108.265,107.915,107.966,11463,3,0,USDJPY,H4
2020-01-03 20:00:00+00:00,107.966,108.122,107.839,108.101,6724,3,0,USDJPY,H4
2020-01-06 00:00:00+00:00,107.884,108.12,107.769,107.945,11116,3,0,USDJPY,H4
2020-01-06 04:00:00+00:00,107.945,108.103,107.928,108.057,5414,3,0,USDJPY,H4
2020-01-06 08:00:00+00:00,108.057,108.175,107.924,107.983,9335,3,0,USDJPY,H4
2020-01-06 12:00:00+00:00,107.983,108.161,107.979,108.119,5948,3,0,USDJPY,H4
2020-01-06 16:00:00+00:00,108.118,108.413,108.065,108.349,8859,3,0,USDJPY,H4
2020-01-06 20:00:00+00:00,108.349,108.504,108.34,108.365,4096,3,0,USDJPY,H4
2020-01-07 00:00:00+00:00,108.362,108.46,108.286,108.432,6052,3,0,USDJPY,H4
2020-01-07 04:00:00+00:00,108.432,108.505,108.42,108.432,4724,3,0,USDJPY,H4
2020-01-07 08:00:00+00:00,108.434,108.499,108.259,108.465,10245,3,0,USDJPY,H4
2020-01-07 12:00:00+00:00,108.465,108.484,108.368,108.437,6959,3,0,USDJPY,H4
2020-01-07 16:00:00+00:00,108.437,108.628,108.315,108.544,10185,3,0,USDJPY,H4
2020-01-07 20:00:00+00:00,108.544,108.592,108.349,108.439,4639,3,0,USDJPY,H4
2020-01-08 00:00:00+00:00,108.439,108.509,107.647,108.029,23070,3,0,USDJPY,H4
2020-01-08 04:00:00+00:00,108.029,108.458,108.004,108.305,16222,3,0,USDJPY,H4
2020-01-08 08:00:00+00:00,108.305,108.488,108.271,108.445,12415,3,0,USDJPY,H4
2020-01-08 12:00:00+00:00,108.444,108.814,108.423,108.67,10151,3,0,USDJPY,H4
2020-01-08 16:00:00+00:00,108.67,109.132,108.615,109.096,13648,3,0,USDJPY,H4
2020-01-08 20:00:00+00:00,109.094,109.243,109.002,109.103,6918,3,0,USDJPY,H4
2020-01-09 00:00:00+00:00,109.103,109.253,109.01,109.235,7438,3,0,USDJPY,H4
2020-01-09 04:00:00+00:00,109.235,109.284,109.147,109.271,4096,3,0,USDJPY,H4
2020-01-09 08:00:00+00:00,109.274,109.43,109.248,109.429,9096,3,0,USDJPY,H4
2020-01-09 12:00:00+00:00,109.429,109.486,109.316,109.43,6984,3,0,USDJPY,H4
2020-01-09 16:00:00+00:00,109.43,109.58,109.425,109.509,7844,3,0,USDJPY,H4
2020-01-09 20:00:00+00:00,109.509,109.536,109.39,109.514,5456,3,0,USDJPY,H4
2020-01-10 00:00:00+00:00,109.513,109.58,109.451,109.541,6468,2,0,USDJPY,H4
2020-01-10 04:00:00+00:00,109.541,109.603,109.504,109.559,3294,3,0,USDJPY,H4
2020-01-10 08:00:00+00:00,109.559,109.647,109.552,109.638,4040,3,0,USDJPY,H4
2020-01-10 12:00:00+00:00,109.638,109.686,109.5,109.649,5413,3,0,USDJPY,H4
2020-01-10 16:00:00+00:00,109.649,109.688,109.432,109.476,8032,3,0,USDJPY,H4
2020-01-10 20:00:00+00:00,109.476,109.555,109.465,109.5,3062,3,0,USDJPY,H4
2020-01-13 00:00:00+00:00,109.52,109.634,109.501,109.599,4221,3,0,USDJPY,H4
2020-01-13 04:00:00+00:00,109.599,109.645,109.584,109.634,1812,3,0,USDJPY,H4
2020-01-13 08:00:00+00:00,109.634,109.881,109.616,109.847,4657,3,0,USDJPY,H4
2020-01-13 12:00:00+00:00,109.848,109.922,109.824,109.846,4172,3,0,USDJPY,H4
2020-01-13 16:00:00+00:00,109.846,109.943,109.799,109.915,6569,3,0,USDJPY,H4
2020-01-13 20:00:00+00:00,109.916,109.944,109.89,109.942,2345,3,0,USDJPY,H4
2020-01-14 00:00:00+00:00,109.939,110.212,109.909,110.064,6033,3,0,USDJPY,H4
2020-01-14 04:00:00+00:00,110.064,110.107,110.014,110.058,3624,3,0,USDJPY,H4
2020-01-14 08:00:00+00:00,110.058,110.131,109.884,110.018,6073,3,0,USDJPY,H4
2020-01-14 12:00:00+00:00,110.018,110.111,109.946,110.005,5614,3,0,USDJPY,H4
2020-01-14 16:00:00+00:00,110.005,110.107,109.929,110.092,7234,3,0,USDJPY,H4
2020-01-14 20:00:00+00:00,110.092,110.112,109.85,109.982,7455,3,0,USDJPY,H4
2020-01-15 00:00:00+00:00,109.973,110.008,109.815,109.949,5731,3,0,USDJPY,H4
2020-01-15 04:00:00+00:00,109.949,109.959,109.865,109.917,3950,3,0,USDJPY,H4
2020-01-15 08:00:00+00:00,109.917,109.947,109.845,109.866,4020,3,0,USDJPY,H4
2020-01-15 12:00:00+00:00,109.866,109.917,109.82,109.83,4431,3,0,USDJPY,H4
2020-01-15 16:00:00+00:00,109.83,110.003,109.788,109.884,8654,3,0,USDJPY,H4
2020-01-15 20:00:00+00:00,109.884,109.926,109.849,109.892,4931,3,0,USDJPY,H4
2020-01-16 00:00:00+00:00,109.883,109.99,109.848,109.925,5398,3,0,USDJPY,H4
2020-01-16 04:00:00+00:00,109.926,109.948,109.911,109.944,2379,3,0,USDJPY,H4
2020-01-16 08:00:00+00:00,109.944,110.063,109.931,109.999,4421,3,0,USDJPY,H4
2020-01-16 12:00:00+00:00,109.998,110.053,109.925,110.01,4767,3,0,USDJPY,H4
2020-01-16 16:00:00+00:00,110.01,110.178,109.955,110.147,7863,3,0,USDJPY,H4
2020-01-16 20:00:00+00:00,110.147,110.176,110.118,110.151,2666,3,0,USDJPY,H4
2020-01-17 00:00:00+00:00,110.136,110.287,110.121,110.178,5756,3,0,USDJPY,H4
2020-01-17 04:00:00+00:00,110.18,110.224,110.174,110.195,2924,3,0,USDJPY,H4
2020-01-17 08:00:00+00:00,110.195,110.251,110.148,110.176,4119,3,0,USDJPY,H4
2020-01-17 12:00:00+00:00,110.176,110.209,110.085,110.185,4265,3,0,USDJPY,H4
2020-01-17 16:00:00+00:00,110.185,110.212,110.046,110.137,6373,3,0,USDJPY,H4
2020-01-17 20:00:00+00:00,110.137,110.177,110.11,110.161,3483,3,0,USDJPY,H4
2020-01-20 00:00:00+00:00,110.105,110.215,110.102,110.181,6359,3,0,USDJPY,H4
2020-01-20 04:00:00+00:00,110.181,110.207,110.167,110.179,2220,3,0,USDJPY,H4
2020-01-20 08:00:00+00:00,110.179,110.186,110.111,110.165,2686,3,0,USDJPY,H4
2020-01-20 12:00:00+00:00,110.165,110.198,110.156,110.182,1764,3,0,USDJPY,H4
2020-01-20 16:00:00+00:00,110.182,110.191,110.134,110.18,1687,3,0,USDJPY,H4
2020-01-20 20:00:00+00:00,110.18,110.184,110.145,110.178,3986,4,0,USDJPY,H4
2020-01-21 00:00:00+00:00,110.178,110.22,109.902,109.946,6414,3,0,USDJPY,H4
2020-01-21 04:00:00+00:00,109.946,110.018,109.895,109.934,4570,3,0,USDJPY,H4
2020-01-21 08:00:00+00:00,109.934,110.02,109.887,109.953,6400,3,0,USDJPY,H4
2020-01-21 12:00:00+00:00,109.954,110.083,109.953,110.06,4456,3,0,USDJPY,H4
2020-01-21 16:00:00+00:00,110.06,110.119,109.857,109.917,6150,3,0,USDJPY,H4
2020-01-21 20:00:00+00:00,109.917,109.946,109.76,109.859,6710,3,0,USDJPY,H4
2020-01-22 00:00:00+00:00,109.857,109.967,109.827,109.9,6273,3,0,USDJPY,H4
2020-01-22 04:00:00+00:00,109.9,110.099,109.895,110.037,5710,3,0,USDJPY,H4
2020-01-22 08:00:00+00:00,110.037,110.06,109.933,109.961,4904,3,0,USDJPY,H4
2020-01-22 12:00:00+00:00,109.961,110.004,109.937,109.951,4100,3,0,USDJPY,H4
2020-01-22 16:00:00+00:00,109.951,109.963,109.83,109.868,6391,3,0,USDJPY,H4
2020-01-22 20:00:00+00:00,109.868,109.913,109.831,109.834,4114,3,0,USDJPY,H4
2020-01-23 00:00:00+00:00,109.829,109.86,109.592,109.642,7316,3,0,USDJPY,H4
2020-01-23 04:00:00+00:00,109.642,109.68,109.559,109.578,4872,3,0,USDJPY,H4
2020-01-23 08:00:00+00:00,109.578,109.623,109.489,109.529,7001,3,0,USDJPY,H4
2020-01-23 12:00:00+00:00,109.529,109.649,109.498,109.527,5095,3,0,USDJPY,H4
2020-01-23 16:00:00+00:00,109.527,109.574,109.264,109.354,10863,3,0,USDJPY,H4
2020-01-23 20:00:00+00:00,109.354,109.535,109.349,109.485,6064,3,0,USDJPY,H4
2020-01-24 00:00:00+00:00,109.485,109.575,109.438,109.47,4701,3,0,USDJPY,H4
2020-01-24 04:00:00+00:00,109.47,109.547,109.443,109.545,2695,3,0,USDJPY,H4
2020-01-24 08:00:00+00:00,109.545,109.65,109.506,109.569,5444,3,0,USDJPY,H4
2020-01-24 12:00:00+00:00,109.568,109.628,109.52,109.533,4144,3,0,USDJPY,H4
2020-01-24 16:00:00+00:00,109.533,109.558,109.243,109.318,11436,3,0,USDJPY,H4
2020-01-24 20:00:00+00:00,109.318,109.325,109.17,109.278,9601,3,0,USDJPY,H4
2020-01-27 00:00:00+00:00,108.968,109.044,108.729,108.976,13568,3,0,USDJPY,H4
2020-01-27 04:00:00+00:00,108.976,109.12,108.874,109.044,5992,3,0,USDJPY,H4
2020-01-27 08:00:00+00:00,109.045,109.135,108.843,108.891,8676,3,0,USDJPY,H4
2020-01-27 12:00:00+00:00,108.891,109.06,108.827,109.025,8925,3,0,USDJPY,H4
2020-01-27 16:00:00+00:00,109.025,109.097,108.85,109.005,14469,3,0,USDJPY,H4
2020-01-27 20:00:00+00:00,109.005,109.062,108.861,108.883,6783,3,0,USDJPY,H4
2020-01-28 00:00:00+00:00,108.884,109.045,108.818,109.025,5624,3,0,USDJPY,H4
2020-01-28 04:00:00+00:00,109.025,109.041,108.945,109.026,4003,3,0,USDJPY,H4
2020-01-28 08:00:00+00:00,109.026,109.098,108.754,108.823,8631,3,0,USDJPY,H4
2020-01-28 12:00:00+00:00,108.823,109.09,108.772,109.026,8124,3,0,USDJPY,H4
2020-01-28 16:00:00+00:00,109.026,109.2,108.925,109.127,9405,3,0,USDJPY,H4
2020-01-28 20:00:00+00:00,109.127,109.171,109.1,109.137,5368,3,0,USDJPY,H4
2020-01-29 00:00:00+00:00,109.137,109.264,109.072,109.196,6704,3,0,USDJPY,H4
2020-01-29 04:00:00+00:00,109.196,109.23,109.125,109.127,3682,3,0,USDJPY,H4
2020-01-29 08:00:00+00:00,109.126,109.156,109.006,109.025,6089,3,0,USDJPY,H4
2020-01-29 12:00:00+00:00,109.025,109.162,109.023,109.146,4526,3,0,USDJPY,H4
2020-01-29 16:00:00+00:00,109.146,109.185,108.974,109.151,7914,3,0,USDJPY,H4
2020-01-29 20:00:00+00:00,109.151,109.254,108.993,109.009,9687,3,0,USDJPY,H4
2020-01-30 00:00:00+00:00,109.009,109.064,108.9,108.948,9168,3,0,USDJPY,H4
2020-01-30 04:00:00+00:00,108.945,108.954,108.842,108.918,6261,3,0,USDJPY,H4
2020-01-30 08:00:00+00:00,108.918,108.976,108.805,108.898,9675,3,0,USDJPY,H4
2020-01-30 12:00:00+00:00,108.9,108.951,108.764,108.897,8203,3,0,USDJPY,H4
2020-01-30 16:00:00+00:00,108.897,109.009,108.579,108.603,12995,3,0,USDJPY,H4
2020-01-30 20:00:00+00:00,108.603,108.997,108.586,108.949,14592,3,0,USDJPY,H4
2020-01-31 00:00:00+00:00,108.95,109.134,108.876,109.051,7915,3,0,USDJPY,H4
2020-01-31 04:00:00+00:00,109.051,109.121,109.022,109.071,5237,3,0,USDJPY,H4
2020-01-31 08:00:00+00:00,109.071,109.084,108.923,108.965,6464,3,0,USDJPY,H4
2020-01-31 12:00:00+00:00,108.965,108.986,108.824,108.849,7882,3,0,USDJPY,H4
2020-01-31 16:00:00+00:00,108.849,108.885,108.31,108.422,18207,3,0,USDJPY,H4
