time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2020-01-02 00:00:00+00:00,0.96879,0.97325,0.96813,0.97114,23680,1,0,USDCHF,D1
2020-01-03 00:00:00+00:00,0.97102,0.97434,0.96879,0.97237,32436,1,0,USDCHF,D1
2020-01-06 00:00:00+00:00,0.96997,0.97164,0.96759,0.96786,30351,2,0,USDCHF,D1
2020-01-07 00:00:00+00:00,0.96785,0.97297,0.9675,0.97012,32396,1,0,USDCHF,D1
2020-01-08 00:00:00+00:00,0.97012,0.97393,0.96649,0.97373,63576,4,0,USDCHF,D1
2020-01-09 00:00:00+00:00,0.97374,0.97478,0.97108,0.97297,34982,4,0,USDCHF,D1
2020-01-10 00:00:00+00:00,0.97283,0.97617,0.97195,0.97279,29961,4,0,USDCHF,D1
2020-01-13 00:00:00+00:00,0.972,0.97364,0.96937,0.97054,26601,2,0,USDCHF,D1
2020-01-14 00:00:00+00:00,0.97054,0.97129,0.96651,0.96698,32992,4,0,USDCHF,D1
2020-01-15 00:00:00+00:00,0.96697,0.96797,0.963,0.96407,35637,4,0,USDCHF,D1
2020-01-16 00:00:00+00:00,0.96397,0.96519,0.96126,0.96475,28182,4,0,USDCHF,D1
2020-01-17 00:00:00+00:00,0.96475,0.96951,0.96441,0.96762,27410,4,0,USDCHF,D1
2020-01-20 00:00:00+00:00,0.96744,0.96989,0.96722,0.96777,18878,3,0,USDCHF,D1
2020-01-21 00:00:00+00:00,0.96781,0.96897,0.96607,0.96862,31671,4,0,USDCHF,D1
2020-01-22 00:00:00+00:00,0.96861,0.97286,0.96773,0.96776,35627,4,0,USDCHF,D1
2020-01-23 00:00:00+00:00,0.96772,0.97029,0.96683,0.9688,34442,4,0,USDCHF,D1
2020-01-24 00:00:00+00:00,0.96881,0.97175,0.96842,0.97101,28897,4,0,USDCHF,D1
2020-01-27 00:00:00+00:00,0.97023,0.97187,0.96814,0.9693,31879,4,0,USDCHF,D1
2020-01-28 00:00:00+00:00,0.9693,0.9741,0.96782,0.97304,24734,5,0,USDCHF,D1
2020-01-29 00:00:00+00:00,0.97304,0.97663,0.97244,0.97297,25985,4,0,USDCHF,D1
2020-01-30 00:00:00+00:00,0.97292,0.97364,0.96796,0.96932,33992,4,0,USDCHF,D1
2020-01-31 00:00:00+00:00,0.96929,0.97126,0.96284,0.96326,40027,4,0,USDCHF,D1
2020-02-03 00:00:00+00:00,0.96291,0.96726,0.96284,0.96568,43085,4,0,USDCHF,D1
2020-02-04 00:00:00+00:00,0.96568,0.97038,0.96519,0.96896,36643,4,0,USDCHF,D1
2020-02-05 00:00:00+00:00,0.96889,0.97472,0.96776,0.97326,36318,2,0,USDCHF,D1
2020-02-06 00:00:00+00:00,0.97326,0.9756,0.97305,0.97468,33317,4,0,USDCHF,D1
2020-02-07 00:00:00+00:00,0.97467,0.97807,0.97393,0.97754,40787,4,0,USDCHF,D1
2020-02-10 00:00:00+00:00,0.97672,0.97833,0.97626,0.9771,39420,5,0,USDCHF,D1
2020-02-11 00:00:00+00:00,0.97705,0.97885,0.97504,0.97575,36877,3,0,USDCHF,D1
2020-02-12 00:00:00+00:00,0.97574,0.97847,0.97405,0.97807,35031,4,0,USDCHF,D1
2020-02-13 00:00:00+00:00,0.97776,0.97954,0.97604,0.97933,40385,4,0,USDCHF,D1
2020-02-14 00:00:00+00:00,0.9793,0.98219,0.97867,0.98209,28800,4,0,USDCHF,D1
2020-02-17 00:00:00+00:00,0.98129,0.98266,0.98056,0.9806,21546,2,0,USDCHF,D1
2020-02-18 00:00:00+00:00,0.9806,0.98388,0.97961,0.9831,27525,4,0,USDCHF,D1
2020-02-19 00:00:00+00:00,0.98306,0.98442,0.98252,0.98361,26129,4,0,USDCHF,D1
2020-02-20 00:00:00+00:00,0.98362,0.98479,0.98147,0.9839,38258,4,0,USDCHF,D1
2020-02-21 00:00:00+00:00,0.98385,0.98432,0.97708,0.97818,35280,4,0,USDCHF,D1
2020-02-24 00:00:00+00:00,0.97957,0.98151,0.97646,0.9789,49449,5,0,USDCHF,D1
2020-02-25 00:00:00+00:00,0.9789,0.98043,0.97504,0.97593,57943,0,0,USDCHF,D1
2020-02-26 00:00:00+00:00,0.97593,0.97787,0.97283,0.97664,62350,1,0,USDCHF,D1
2020-02-27 00:00:00+00:00,0.97663,0.97707,0.96736,0.9675,63844,0,0,USDCHF,D1
2020-02-28 00:00:00+00:00,0.96749,0.96953,0.96096,0.96531,86213,0,0,USDCHF,D1
2020-03-02 00:00:00+00:00,0.96285,0.96546,0.95435,0.95888,72410,0,0,USDCHF,D1
2020-03-03 00:00:00+00:00,0.95853,0.9597,0.95152,0.9558,75159,0,0,USDCHF,D1
2020-03-04 00:00:00+00:00,0.95574,0.95967,0.95323,0.95627,51587,0,0,USDCHF,D1
2020-03-05 00:00:00+00:00,0.95625,0.9571,0.94461,0.94546,50333,0,0,USDCHF,D1
2020-03-06 00:00:00+00:00,0.94545,0.94665,0.93179,0.93744,106226,0,0,USDCHF,D1
2020-03-09 00:00:00+00:00,0.93173,0.93308,0.91818,0.92416,115499,0,0,USDCHF,D1
2020-03-10 00:00:00+00:00,0.92419,0.94105,0.92376,0.93848,145687,12,0,USDCHF,D1
2020-03-11 00:00:00+00:00,0.93834,0.94017,0.93238,0.93911,103473,1,0,USDCHF,D1
2020-03-12 00:00:00+00:00,0.93924,0.95517,0.93212,0.94459,112417,1,0,USDCHF,D1
2020-03-13 00:00:00+00:00,0.94459,0.9569,0.94221,0.95122,139125,0,0,USDCHF,D1
2020-03-16 00:00:00+00:00,0.94468,0.95253,0.93918,0.94463,177009,0,0,USDCHF,D1
2020-03-17 00:00:00+00:00,0.94517,0.96485,0.94462,0.96097,154971,0,0,USDCHF,D1
2020-03-18 00:00:00+00:00,0.96097,0.97504,0.95662,0.96694,168610,0,0,USDCHF,D1
2020-03-19 00:00:00+00:00,0.96681,0.9878,0.96379,0.98768,189439,0,0,USDCHF,D1
2020-03-20 00:00:00+00:00,0.98768,0.99004,0.97437,0.98548,202713,0,0,USDCHF,D1
2020-03-23 00:00:00+00:00,0.98397,0.99004,0.979,0.98349,199905,0,0,USDCHF,D1
2020-03-24 00:00:00+00:00,0.98349,0.98454,0.97184,0.98212,150076,0,0,USDCHF,D1
2020-03-25 00:00:00+00:00,0.98208,0.9834,0.97442,0.97455,136388,0,0,USDCHF,D1
